mesa_id,i
0100300921X,25140
0100300922X,25141
0100300923X,25142
0100300924X,25143
0100300925X,25144
0100300926X,25145
0100300927X,25146
0100300928X,25147
0100300929X,25148
0100300930X,25149
0100300931X,25150
0100300932X,25151
0100300933X,25152
0100300934X,25153
0100300935X,25154
0100300936X,25155
0100300937X,25156
0100300938X,25157
0100300939X,25158
0100300940X,25159
0100300941X,25160
0100300942X,25161
0100300943X,25162
0100300944X,25163
0100300945X,25164
0100300946X,25165
0100300947X,25166
0100300948X,25167
0100300949X,25168
0100300950X,25169
0100300951X,25170
0100300952X,25171
0100300953X,25172
0100300954X,25173
0100300955X,25174
0100300956X,25175
0100300957X,25176
0100300958X,25177
0100300959X,25178
0100300960X,25179
0100300961X,25180
0100300962X,25181
0100300963X,25182
0100300964X,25183
0100300965X,25184
0100300966X,25185
0100300967X,25186
0100300968X,25187
0100300969X,25188
0100300970X,25189
0100300971X,25190
0100300972X,25191
0100300973X,25192
0100300974X,25193
0100300975X,25194
0100300976X,25195
0100300977X,25196
0100300978X,25197
0100300979X,25198
0100300980X,25199
0100300981X,25200
0100300982X,25201
0100300983X,25202
0100300984X,25203
0100300985X,25204
0100300986X,25205
0100300987X,25206
0100300988X,25207
0100300989X,25208
0100300990X,25209
0100300991X,25210
0100300992X,25211
0100300993X,25212
0100300994X,25213
0100300995X,25214
0100300996X,25215
0100300997X,25216
0100300998X,25217
0100300999X,25218
0100301000X,25219
0100301001X,25220
0100301002X,25221
0100301003X,25222
0100301004X,25223
0100301005X,25224
0100301006X,25225
0100301007X,25226
0100301008X,25227
0100301009X,25228
0100301010X,25229
0100301011X,25230
0100301012X,25231
0100301013X,25232
0100301014X,25233
0100301015X,25234
0100301016X,25235
0100301017X,25236
0100301018X,25237
0100301019X,25238
0100301020X,25239
0100301021X,25240
0100301022X,25241
0100301023X,25242
0100301024X,25243
0100301025X,25244
0100301026X,25245
0100301027X,25246
0100301028X,25247
0100301029X,25248
0100301030X,25249
0100301031X,25250
0100301032X,25251
0100301033X,25252
0100301034X,25253
0100301035X,25254
0100301036X,25255
0100301037X,25256
0100301038X,25257
0100301039X,25258
0100301040X,25259
0100301041X,25260
0100301042X,25261
0100301043X,25262
0100301044X,25263
0100301045X,25264
0100301046X,25265
0100301047X,25266
0100301048X,25267
0100301049X,25268
0100301050X,25269
0100301051X,25270
0100301052X,25271
0100301053X,25272
0100301054X,25273
0100301055X,25274
